name,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts
Kyle Palmieri,84721,1807,54.27,0.53,0.44,0.53,0.44,0.53,0.45,344,236.57,28.71,19.28,54.29,8.04,121.44,80.25,27.24,28.75,27.27,10,14,218,94,72,384,54,30,34,9,25,2,112,109,188,282,13,26,13,89,21,37,214,61,37,6.6,7.9,14.21,9,10,11,386.01,312,313.75,8,4.51,6.79,9.48,23.74,23.73,23.14,1807,327,171,266,1043,196,278,278,1055,13,21,214265,26,46,23,43,872.26,92.52,87.11,93.17,87.69,842,344,462,1648,89,116,21,856,207,123,23.5,25.28,43.75,27,28,34,1656.93,1186,1193.42,14.58,27.19,27.19,79.9,80.25,77.76,752.59,80.62,76.27,80.33,75.99,736,296,423,1455,75,81,10,773,159,100,21,19.22,40.41,23,19,33,1446.75,1032,1026.38,10.42,17.74,18.39,72.66,72.37,70.49,147.4,184.09,3173,4065
Neal Pionk,102478,2216,34.2,0.45,0.53,0.48,0.51,0.48,0.52,238,148.95,6.1,8.17,40.16,4.95,86.25,66.37,5.99,6.13,6.02,6,22,146,66,95,307,33,5,15,0,43,0,68,81,141,207,30,63,0,221,34,55,202,7,3,4.37,0.79,0.94,5,0,0,308.37,212,213.65,51,1.76,2.68,0.45,7.41,7.46,7.33,2216,246,305,323,1342,285,286,316,1329,0,0,194591,63,39,18,118,823.96,79.52,77.02,79.94,77.44,789,362,477,1628,87,77,8,874,198,79,23.51,24.91,31.09,35,24,28,1641.26,1151,1162.39,11.68,15.52,15.52,75.68,76.15,74.67,922.84,95.75,89.5,95.61,89.36,890,380,477,1747,86,118,12,931,210,129,25.33,26.12,44.31,28,22,36,1731.48,1270,1261.18,14.36,27.62,27.62,82.49,82.41,79.75,167.58,147.06,3275,3099
Jakob Chychrun,110158,2107,44.65,0.54,0.48,0.55,0.49,0.56,0.5,203,234.83,12.93,13.46,63.44,7.73,133.65,95.8,12.5,12.91,12.49,11,16,204,123,158,485,41,14,21,1,55,0,129,108,190,313,25,50,0,72,22,73,296,22,9,6.3,2.42,4.21,7,5,2,481.72,327,324.44,63,3.02,4.63,1.96,13.99,13.92,13.56,2107,238,169,254,1446,254,287,311,1255,0,0,188339,50,28,13,154,1104.61,99.48,94.29,99.54,94.38,1040,476,577,2093,99,121,12,1178,228,110,31.04,28.54,39.9,36,38,25,2081.91,1516,1508.19,16.49,25.47,25.05,90.92,90.92,88.79,885.1,83.47,79.74,84.17,80.43,861,349,500,1710,103,97,10,900,213,97,24.41,26.43,32.63,43,38,22,1732.15,1210,1223.41,11.81,19.32,19.32,75.97,76.75,75.39,152.19,163.07,3095,3182
Mikko Rantanen,109947,1861,110.37,0.63,0.44,0.61,0.47,0.61,0.46,145,283.59,33.51,20.93,62.32,9.66,162.25,110.33,32.04,33.51,32.05,36,26,271,128,126,525,104,42,18,4,48,1,156,134,229,357,24,50,275,53,43,43,269,102,28,9.42,12.17,11.91,18,9,15,527.75,399,401.31,6,4.81,4.17,4.3,34.02,34.05,32.75,1861,502,164,312,883,172,274,351,1064,275,236,181017,50,42,20,49,1291.07,148.56,138.54,149,138.97,1264,517,665,2446,168,102,18,1243,384,154,37.87,46.92,63.77,55,54,59,2463.16,1781,1790.29,22.13,26.82,26.82,143.86,144.32,138.24,834.54,87.15,83.13,86.88,82.85,798,339,417,1554,86,84,11,814,213,110,22.33,27.8,37.01,28,32,26,1546.35,1137,1134.35,11.58,19.47,19.47,79.25,79.13,77.08,135.62,170.82,2750,3137
Alexis Lafrenire,84954,1712,73.75,0.54,0.51,0.58,0.48,0.57,0.49,400,232.18,26.9,16.51,53.71,7.95,125.05,87.88,25.5,26.98,25.58,20,9,217,101,82,400,57,28,15,5,44,1,118,112,189,290,15,30,17,73,45,27,211,76,31,7.51,9.35,10.05,8,11,9,403.03,318,320.45,6,3.72,2.81,3.56,27.06,27.16,26.02,1712,303,72,234,1103,321,267,302,822,17,49,213524,30,46,24,21,910.72,82.53,78.31,82.76,78.55,846,414,483,1743,87,75,15,959,219,82,29.61,26.61,26.31,38,27,22,1748.48,1260,1264.44,13.83,15.26,15.3,81.06,81.42,78.83,686.14,71.45,68.89,71.48,68.94,673,268,309,1250,76,83,11,691,167,83,19.06,21.5,30.89,22,30,24,1250.23,941,941.96,9.05,16.46,16.46,64.03,64.19,63.31,185.07,178.49,3423,3653
